start,end,surface,verified_behavior,asa_lab_requirement
00:00,00:05,Public landing,"Login, registration and product navigation","Anonymous product shell"
00:05,00:10,Context chooser,"Educator, student class, personal and existing-account paths","Entry router; no client-granted roles"
00:10,00:25,Age policy,"Country/region and DOB","Server AgeBand/jurisdiction policy"
00:25,01:10,Credentials,"Email, password, terms, live rules, duplicate email","Native identity and early validation"
01:10,01:30,Account creation,"Anti-bot and account-created redirect","Risk-based anti-abuse"
01:30,01:50,Creator home,"Immediate creator dashboard; no observed email confirmation gate","Immediate adult personal workspace"
01:50,02:10,Educator activation,"Profile role and teacher attestation","Audited server capability grant"
02:10,02:30,Classes empty,"Teaching/archive/co-teaching/registered tabs","Role-aware class list"
02:30,03:20,Personal project,"Teacher creates Circuits work without class","Personal projects independent of classroom"
03:20,04:45,Publication,"Properties, duplicate, versions, activity, collection; private/unlisted/public","Platform project lifecycle and publication"
04:45,05:30,Create class,"Name, grade/age, topics, Safe Mode","Classroom metadata and safety policy"
05:30,05:40,Class onboarding,"New class workspace and onboarding","One-time onboarding"
05:40,05:55,Class shell,"Students, Activities, Projects, Moderation, Co-teachers, code/link, Safe Mode","Canonical class workspace"
05:55,06:15,Add one learner,"Display label plus assigned login handle","StudentSeat fields and audit"
06:15,06:40,Bulk learners,"Paste lines, optional mapping, validation, preview","Bulk importer with row errors"
06:40,06:55,Roster,"Type, login, last active, badges, Safe Mode, actions","Operational roster"
06:55,07:00,Class sharing,"Grouped code, copy link/code, instructions","Rotatable/revocable join code"
07:00,07:10,Activities/moderation/co-teachers,"Separate tabs and empty states","Separate bounded contexts and grants"
07:10,08:40,Seat operations,"Per-seat controls and printable credential strips","Credential export/reset/revoke"
09:20,10:30,StudentSeat login,"Class code plus assigned learner handle; no email/password","Dedicated rate-limited StudentSeat auth"
10:30,11:00,Student portal,"Creator shell and project creation","Safe Mode restricts publication, not creativity"
11:00,11:15,Teacher monitoring,"Last-active update and Safe Mode","Activity projection"
11:15,11:20,Learner portfolio,"Learner switcher, module tabs, sort, grid/list","Universal learner portfolio"
11:20,11:25,Project viewer,"Preview, simulate, edit affordance, context, visibility, dates","Audited universal ProjectViewer"
11:25,11:40,Version history,"Multiple versions; restore creates copy","Immutable versions and non-destructive restore"
