start,end,surface,summary
00:00,00:09,Public landing,"Marketing home, top navigation, login/register"
00:09,00:17,Contextual sign-in,"Educator, class-code learner, student account, personal account"
00:17,00:45,Authentication,"Autodesk personal account sign-in and redirect"
00:45,01:08,Session return,"Loading and dashboard entry"
01:08,01:17,Home dashboard,"Announcement plus module-grouped project cards"
01:17,01:20,Classes list,"Teaching/archive/co-teaching/registered tabs"
01:20,01:22,Projects,"Module tabs, search, sort, trash, project grid"
01:22,01:24,Collections,"Collection empty/create state"
01:24,01:27,Tutorials,"Progress states, resume/view, recommendations"
01:27,01:39,Challenges and account menu,"Challenges empty state; global account actions"
01:39,01:50,Profile/account settings,"Profile, account security, sessions"
01:50,02:02,Managed child accounts,"Status, Safe Mode, last active"
02:02,02:12,Managed child activity,"Activity events with block/edit actions"
02:12,02:18,Educator resources,"Educator information surface"
02:18,02:28,Dashboard to project,"Return and open circuit project"
02:28,02:38,Circuits shell,"Full-screen editor and component library"
02:38,02:50,Component placement,"Battery, resistor, LED drag/drop"
02:50,03:18,Wiring,"Terminal-based wires, bends and colour"
03:18,03:50,Simulation,"Running state, diagnostics and component properties"
03:50,04:24,Alternate editor views,"Categories, schematic/BOM-like modes"
04:24,04:32,Save and return,"Project persistence and dashboard return"
04:32,04:38,Class selection,"Open class from class list"
04:38,04:42,Class workspace,"Code, share, Safe Mode, roster, tabs"
04:42,04:44,Open learner,"Teacher selects learner"
04:44,04:52,Learner project gallery,"Module tabs, sort, grid/list, privacy"
04:52,04:58,Learner project detail,"Preview, simulate, edit, share, visibility and metadata"
04:58,05:00,Return,"Close detail and retain gallery context"
