start,end,surface,verified_visible_behavior,asa_lab_requirement
00:00,00:18,Public landing and entry,"Tinkercad marketing page; Start/Join entry is opened.","ASA Lab needs an unauthenticated landing with Sign in, Create account, Join class."
00:18,00:50,Context chooser,"School: educator and student/class entry; personal account creation; existing account sign-in.","Use an entry router only; server capabilities determine roles."
00:50,00:55,Registration method chooser,"Email-based registration, Google, Apple, additional sign-in methods.","ASA Lab may support native email first; external providers are optional adapters."
00:55,01:15,Country and age step,"Country/region plus full date of birth are requested before credentials.","Age band must be resolved before consent and publication policies."
01:15,02:00,Username/password step,"Username and password; live password requirements; username availability is checked.","Check username availability early; show clear password policy; avoid vendor context switching."
02:00,03:41,Anti-bot and retry loop,"Multiple visual CAPTCHA rounds; unavailable username causes re-entry and another attempt.","ASA Lab should use low-friction risk-based anti-abuse, not repeated puzzles."
03:41,04:45,Restricted child account state,"Account exists but project work is restricted; approval required within 14 days; teacher or guardian approval options.","Implement explicit pending_approval state with deadline, restrictions and status page."
04:45,05:32,Guardian email approval path,"Guardian email receives approval link. The link expects a Tinkercad account and may require sign-out/re-entry when the child is logged in.","ASA Lab should use a one-time consent link and allow guardian account creation in one flow."
05:32,06:37,Account sign-in return,"Personal account sign-in routes through Autodesk identity and returns to Tinkercad pending state.","ASA Lab should own the flow and preserve redirect context deterministically."
06:37,07:06,Registered student joins class,"Student enters teacher-provided code, sees class/account confirmation, then joins.","Class-code join is separate from login; confirm class and current identity before commit."
07:06,07:40,Student class shell,"Joined class appears in Your classes; View class, join another class, transfer projects; class activity may be empty.","Student dashboard requires class list and class activity, not only assignments."
07:40,07:56,Badges,"Received and available skill badges; badge taxonomy and detail affordance.","BadgeDefinition and BadgeAward are first-class student surfaces."
07:56,08:06,Student profile,"Profile header, active date, bio, module tabs, filters, sort, grid/list; public portfolio currently empty.","Use one module-aware profile/portfolio surface with Safe Mode policy."
08:06,08:43,Profile and account settings,"Safe Mode banner, restricted profile editing, private username, optional display name and bio, sign-out-all-devices.","Implement privacy-aware profile plus security/session management."
08:43,08:50,Student creator home,"Module-grouped starter projects for 3D, Circuits and Codeblocks remain available.","A student remains a creator; Safe Mode restricts publication/social actions, not all creation."
